DriverNumber,BroadcastName,Abbreviation,TeamName,GridPosition,Position,Points,Status,Q1,Q2,Q3,Season,Round,EventName,DidFinish,Podium,Win,RecentAvgFinish,RecentAvgGrid,RecentAvgPoints,RecentDNFRate,TeamRecentAvgPoints,TrackHistoryAvgFinish
6,I HADJAR,HAD,Racing Bulls,6.0,18.0,0.0,Retired,,,,2025,23,Qatar Grand Prix,0,0,0,10.8,9.8,2.4,0.0,1.8,
44,L HAMILTON,HAM,Ferrari,17.0,12.0,0.0,Finished,,,,2025,23,Qatar Grand Prix,1,0,0,9.2,9.2,4.8,0.2,7.7,
27,N HULKENBERG,HUL,Kick Sauber,11.0,20.0,0.0,Retired,,,,2025,23,Qatar Grand Prix,0,0,0,12.6,11.2,2.4,0.2,1.3,
30,L LAWSON,LAW,Racing Bulls,12.0,9.0,2.0,Finished,,,,2025,23,Qatar Grand Prix,1,0,0,13.4,10.4,1.2,0.2,1.8,
16,C LECLERC,LEC,Ferrari,10.0,8.0,4.0,Finished,,,,2025,23,Qatar Grand Prix,1,0,0,6.8,4.8,10.6,0.2,7.3,
4,L NORRIS,NOR,McLaren,2.0,4.0,12.0,Finished,,,,2025,23,Qatar Grand Prix,1,0,0,5.2,2.0,16.6,0.2,12.5,
31,E OCON,OCO,Haas F1 Team,16.0,15.0,0.0,Lapped,,,,2025,23,Qatar Grand Prix,1,0,0,12.6,15.6,0.8,0.0,2.7,
81,O PIASTRI,PIA,McLaren,1.0,2.0,18.0,Finished,,,,2025,23,Qatar Grand Prix,1,1,0,7.8,5.0,8.4,0.2,12.2,
63,G RUSSELL,RUS,Mercedes,4.0,6.0,8.0,Finished,,,,2025,23,Qatar Grand Prix,1,0,0,4.0,3.8,13.8,0.0,12.0,
55,C SAINZ,SAI,Williams,7.0,3.0,15.0,Finished,,,,2025,23,Qatar Grand Prix,1,1,0,13.0,11.4,2.2,0.4,1.1,
18,L STROLL,STR,Aston Martin,18.0,17.0,0.0,Retired,,,,2025,23,Qatar Grand Prix,0,0,0,14.6,15.8,0.0,0.2,0.7,
22,Y TSUNODA,TSU,Red Bull Racing,15.0,10.0,1.0,Finished,,,,2025,23,Qatar Grand Prix,1,0,0,11.8,14.6,1.2,0.0,10.4,
1,M VERSTAPPEN,VER,Red Bull Racing,3.0,1.0,25.0,Finished,,,,2025,23,Qatar Grand Prix,1,1,1,2.0,5.8,19.6,0.0,10.5,
23,A ALBON,ALB,Williams,17.0,16.0,0.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,12.8,15.4,0.0,0.2,2.5,
14,F ALONSO,ALO,Aston Martin,6.0,6.0,8.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,12.0,10.0,1.4,0.2,0.7,
12,K ANTONELLI,ANT,Mercedes,14.0,15.0,0.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,5.8,7.4,10.2,0.0,10.3,
87,O BEARMAN,BEA,Haas F1 Team,11.0,12.0,0.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,9.6,10.4,4.6,0.2,2.7,
5,G BORTOLETO,BOR,Kick Sauber,7.0,11.0,0.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,15.6,17.4,0.2,0.4,1.3,
43,F COLAPINTO,COL,Alpine,20.0,20.0,0.0,Lapped,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,15.4,17.2,0.0,0.0,0.1,
10,P GASLY,GAS,Alpine,19.0,19.0,0.0,Lapped,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,14.6,12.0,0.2,0.0,0.1,
6,I HADJAR,HAD,Racing Bulls,9.0,17.0,0.0,Lapped,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,12.2,9.4,2.4,0.2,2.0,
44,L HAMILTON,HAM,Ferrari,16.0,8.0,4.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,10.0,11.4,4.0,0.2,6.9,
27,N HULKENBERG,HUL,Kick Sauber,18.0,9.0,2.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,12.6,11.2,2.4,0.4,1.3,
30,L LAWSON,LAW,Racing Bulls,13.0,18.0,0.0,Lapped,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,12.2,10.4,1.6,0.2,2.0,
16,C LECLERC,LEC,Ferrari,5.0,4.0,12.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,7.2,5.4,9.8,0.2,6.1,
4,L NORRIS,NOR,McLaren,2.0,3.0,15.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,1,0,5.4,1.4,16.0,0.2,12.8,
31,E OCON,OCO,Haas F1 Team,8.0,7.0,6.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,12.0,15.4,0.8,0.0,2.5,
81,O PIASTRI,PIA,McLaren,3.0,2.0,18.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,1,0,7.4,4.6,9.6,0.2,12.5,
63,G RUSSELL,RUS,Mercedes,4.0,5.0,10.0,Finished,,,,2025,24,Abu Dhabi Grand Prix,1,0,0,5.0,4.4,10.4,0.0,10.3,
